timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/03/31 19:25:03.551, 0 %, 0 %, 44
2025/03/31 19:25:08.552, 0 %, 0 %, 44
2025/03/31 19:25:13.553, 0 %, 0 %, 44
2025/03/31 19:25:18.553, 0 %, 0 %, 44
2025/03/31 19:25:23.554, 0 %, 0 %, 44
2025/03/31 19:25:28.554, 0 %, 0 %, 44
2025/03/31 19:25:33.555, 0 %, 0 %, 44
2025/03/31 19:25:38.555, 0 %, 0 %, 44
2025/03/31 19:25:43.556, 0 %, 0 %, 44
2025/03/31 19:25:48.557, 0 %, 0 %, 44
2025/03/31 19:25:53.557, 0 %, 0 %, 44
2025/03/31 19:25:58.558, 0 %, 0 %, 44
2025/03/31 19:26:03.558, 0 %, 0 %, 44
2025/03/31 19:26:08.559, 0 %, 0 %, 44
2025/03/31 19:26:13.559, 0 %, 0 %, 44
2025/03/31 19:26:18.560, 30 %, 1 %, 45
2025/03/31 19:26:23.560, 0 %, 0 %, 45
2025/03/31 19:26:28.561, 0 %, 0 %, 45
2025/03/31 19:26:33.561, 0 %, 0 %, 45
2025/03/31 19:26:38.561, 100 %, 64 %, 59
2025/03/31 19:26:43.562, 100 %, 61 %, 71
2025/03/31 19:26:48.562, 96 %, 62 %, 77
2025/03/31 19:26:53.563, 96 %, 61 %, 79
2025/03/31 19:26:58.563, 100 %, 66 %, 79
2025/03/31 19:27:03.564, 100 %, 62 %, 80
2025/03/31 19:27:08.582, 100 %, 61 %, 81
2025/03/31 19:27:13.582, 96 %, 63 %, 82
2025/03/31 19:27:18.583, 96 %, 62 %, 83
2025/03/31 19:27:23.584, 100 %, 63 %, 84
2025/03/31 19:27:28.584, 91 %, 57 %, 84
2025/03/31 19:27:33.584, 100 %, 65 %, 84
2025/03/31 19:27:38.585, 100 %, 63 %, 84
2025/03/31 19:27:43.585, 100 %, 68 %, 85
2025/03/31 19:27:48.586, 100 %, 67 %, 84
2025/03/31 19:27:53.586, 100 %, 65 %, 84
2025/03/31 19:27:58.587, 100 %, 65 %, 84
2025/03/31 19:28:03.587, 96 %, 64 %, 83
2025/03/31 19:28:08.588, 91 %, 60 %, 83
2025/03/31 19:28:13.588, 96 %, 63 %, 83
2025/03/31 19:28:18.589, 98 %, 68 %, 84
2025/03/31 19:28:23.589, 100 %, 62 %, 83
2025/03/31 19:28:28.590, 91 %, 61 %, 83
2025/03/31 19:28:33.590, 96 %, 61 %, 82
2025/03/31 19:28:38.591, 100 %, 63 %, 84
2025/03/31 19:28:43.592, 100 %, 64 %, 84
2025/03/31 19:28:48.592, 95 %, 62 %, 85
2025/03/31 19:28:53.593, 91 %, 59 %, 84
2025/03/31 19:28:58.593, 96 %, 62 %, 83
2025/03/31 19:29:03.594, 100 %, 64 %, 84
2025/03/31 19:29:08.594, 100 %, 63 %, 82
2025/03/31 19:29:13.595, 100 %, 64 %, 82
2025/03/31 19:29:18.595, 100 %, 60 %, 84
2025/03/31 19:29:23.596, 100 %, 68 %, 84
2025/03/31 19:29:28.596, 91 %, 60 %, 84
2025/03/31 19:29:33.597, 100 %, 66 %, 84
2025/03/31 19:29:38.597, 100 %, 63 %, 84
2025/03/31 19:29:43.598, 96 %, 61 %, 84
2025/03/31 19:29:48.598, 91 %, 60 %, 84
2025/03/31 19:29:53.599, 100 %, 63 %, 85
2025/03/31 19:29:58.599, 100 %, 63 %, 85
2025/03/31 19:30:03.600, 96 %, 59 %, 84
2025/03/31 19:30:08.600, 100 %, 60 %, 82
2025/03/31 19:30:13.600, 98 %, 62 %, 84
2025/03/31 19:30:18.601, 100 %, 65 %, 84
2025/03/31 19:30:23.601, 95 %, 65 %, 84
2025/03/31 19:30:28.602, 96 %, 61 %, 84
2025/03/31 19:30:33.602, 94 %, 61 %, 84
2025/03/31 19:30:38.603, 100 %, 65 %, 84
2025/03/31 19:30:43.603, 91 %, 57 %, 84
2025/03/31 19:30:48.604, 100 %, 64 %, 84
2025/03/31 19:30:53.605, 96 %, 63 %, 84
2025/03/31 19:30:58.605, 100 %, 59 %, 84
2025/03/31 19:31:03.606, 96 %, 62 %, 84
2025/03/31 19:31:08.606, 96 %, 61 %, 84
2025/03/31 19:31:13.607, 91 %, 56 %, 84
2025/03/31 19:31:18.608, 96 %, 62 %, 84
2025/03/31 19:31:23.608, 96 %, 63 %, 83
2025/03/31 19:31:28.609, 100 %, 63 %, 84
2025/03/31 19:31:33.609, 100 %, 67 %, 83
2025/03/31 19:31:38.610, 100 %, 61 %, 83
2025/03/31 19:31:43.610, 100 %, 64 %, 83
2025/03/31 19:31:48.611, 100 %, 67 %, 85
2025/03/31 19:31:53.612, 100 %, 64 %, 84
2025/03/31 19:31:58.612, 95 %, 61 %, 84
2025/03/31 19:32:03.613, 96 %, 65 %, 84
2025/03/31 19:32:08.613, 100 %, 65 %, 84
2025/03/31 19:32:13.614, 96 %, 63 %, 84
2025/03/31 19:32:18.614, 96 %, 64 %, 84
2025/03/31 19:32:23.615, 96 %, 60 %, 84
2025/03/31 19:32:28.615, 91 %, 60 %, 84
2025/03/31 19:32:33.616, 100 %, 67 %, 84
2025/03/31 19:32:38.616, 96 %, 61 %, 85
2025/03/31 19:32:43.617, 96 %, 63 %, 83
2025/03/31 19:32:48.618, 91 %, 57 %, 84
2025/03/31 19:32:53.618, 100 %, 64 %, 83
2025/03/31 19:32:58.619, 96 %, 61 %, 83
2025/03/31 19:33:03.619, 91 %, 60 %, 84
2025/03/31 19:33:08.620, 96 %, 64 %, 85
2025/03/31 19:33:13.620, 100 %, 60 %, 85
2025/03/31 19:33:18.621, 100 %, 67 %, 84
2025/03/31 19:33:23.621, 100 %, 64 %, 83
2025/03/31 19:33:28.622, 100 %, 60 %, 84
2025/03/31 19:33:33.623, 96 %, 64 %, 84
2025/03/31 19:33:38.623, 96 %, 61 %, 83
2025/03/31 19:33:43.624, 100 %, 65 %, 84
2025/03/31 19:33:48.625, 96 %, 64 %, 84
2025/03/31 19:33:53.625, 96 %, 62 %, 84
2025/03/31 19:33:58.626, 91 %, 58 %, 83
2025/03/31 19:34:03.626, 100 %, 64 %, 83
2025/03/31 19:34:08.627, 100 %, 65 %, 85
2025/03/31 19:34:13.628, 96 %, 60 %, 84
2025/03/31 19:34:18.629, 89 %, 59 %, 83
2025/03/31 19:34:23.630, 96 %, 63 %, 84
2025/03/31 19:34:28.631, 100 %, 60 %, 84
2025/03/31 19:34:33.632, 96 %, 63 %, 84
2025/03/31 19:34:38.633, 100 %, 62 %, 84
2025/03/31 19:34:43.633, 96 %, 62 %, 84
2025/03/31 19:34:48.634, 96 %, 62 %, 84
2025/03/31 19:34:53.635, 100 %, 64 %, 84
2025/03/31 19:34:58.635, 91 %, 54 %, 84
2025/03/31 19:35:03.636, 100 %, 60 %, 84
2025/03/31 19:35:08.637, 96 %, 64 %, 84
2025/03/31 19:35:13.638, 91 %, 59 %, 84
2025/03/31 19:35:18.638, 96 %, 61 %, 84
2025/03/31 19:35:23.639, 96 %, 63 %, 84
2025/03/31 19:35:28.640, 96 %, 65 %, 85
2025/03/31 19:35:33.640, 91 %, 55 %, 84
2025/03/31 19:35:38.641, 100 %, 59 %, 83
2025/03/31 19:35:43.642, 100 %, 62 %, 84
2025/03/31 19:35:48.643, 100 %, 67 %, 84
2025/03/31 19:35:53.643, 100 %, 62 %, 82
2025/03/31 19:35:58.643, 100 %, 64 %, 84
2025/03/31 19:36:03.644, 100 %, 65 %, 84
2025/03/31 19:36:08.645, 97 %, 63 %, 84
2025/03/31 19:36:13.645, 96 %, 60 %, 85
2025/03/31 19:36:18.645, 96 %, 60 %, 85
2025/03/31 19:36:23.647, 96 %, 62 %, 84
2025/03/31 19:36:28.648, 97 %, 65 %, 84
2025/03/31 19:36:33.648, 100 %, 67 %, 85
2025/03/31 19:36:38.649, 96 %, 63 %, 85
2025/03/31 19:36:43.649, 96 %, 62 %, 84
2025/03/31 19:36:48.650, 91 %, 60 %, 83
2025/03/31 19:36:53.651, 99 %, 62 %, 84
2025/03/31 19:36:58.652, 100 %, 60 %, 84
2025/03/31 19:37:03.652, 91 %, 62 %, 83
2025/03/31 19:37:08.653, 100 %, 63 %, 82
2025/03/31 19:37:13.654, 100 %, 68 %, 84
2025/03/31 19:37:18.654, 96 %, 64 %, 83
2025/03/31 19:37:23.656, 95 %, 57 %, 84
2025/03/31 19:37:28.656, 100 %, 60 %, 84
2025/03/31 19:37:33.657, 100 %, 63 %, 84
2025/03/31 19:37:38.657, 100 %, 62 %, 84
2025/03/31 19:37:43.658, 96 %, 60 %, 84
2025/03/31 19:37:48.659, 100 %, 62 %, 85
2025/03/31 19:37:53.659, 100 %, 62 %, 84
2025/03/31 19:37:58.660, 91 %, 60 %, 84
2025/03/31 19:38:03.661, 96 %, 63 %, 84
2025/03/31 19:38:08.661, 100 %, 63 %, 84
2025/03/31 19:38:13.662, 96 %, 62 %, 84
2025/03/31 19:38:18.662, 91 %, 57 %, 83
2025/03/31 19:38:23.663, 97 %, 62 %, 84
2025/03/31 19:38:28.664, 96 %, 65 %, 84
2025/03/31 19:38:33.664, 100 %, 64 %, 84
2025/03/31 19:38:38.664, 98 %, 65 %, 84
2025/03/31 19:38:43.665, 96 %, 62 %, 84
2025/03/31 19:38:48.665, 96 %, 61 %, 84
2025/03/31 19:38:53.666, 91 %, 56 %, 83
2025/03/31 19:38:58.667, 96 %, 63 %, 84
2025/03/31 19:39:03.667, 100 %, 66 %, 84
2025/03/31 19:39:08.667, 96 %, 64 %, 84
2025/03/31 19:39:13.668, 100 %, 67 %, 84
2025/03/31 19:39:18.668, 96 %, 62 %, 85
2025/03/31 19:39:23.669, 96 %, 62 %, 84
2025/03/31 19:39:28.669, 100 %, 65 %, 84
2025/03/31 19:39:33.670, 91 %, 60 %, 84
2025/03/31 19:39:38.671, 96 %, 62 %, 84
2025/03/31 19:39:43.671, 100 %, 61 %, 84
2025/03/31 19:39:48.672, 100 %, 64 %, 83
2025/03/31 19:39:53.673, 100 %, 64 %, 83
2025/03/31 19:39:58.673, 100 %, 65 %, 84
2025/03/31 19:40:03.673, 96 %, 66 %, 85
2025/03/31 19:40:08.674, 100 %, 59 %, 84
2025/03/31 19:40:13.674, 99 %, 61 %, 83
2025/03/31 19:40:18.675, 100 %, 63 %, 84
2025/03/31 19:40:23.676, 100 %, 65 %, 85
2025/03/31 19:40:28.676, 100 %, 65 %, 85
2025/03/31 19:40:33.677, 100 %, 63 %, 84
2025/03/31 19:40:38.678, 94 %, 60 %, 84
2025/03/31 19:40:43.679, 100 %, 63 %, 83
2025/03/31 19:40:48.679, 100 %, 64 %, 82
2025/03/31 19:40:53.680, 99 %, 60 %, 84
2025/03/31 19:40:58.680, 94 %, 59 %, 84
2025/03/31 19:41:03.681, 96 %, 63 %, 85
2025/03/31 19:41:08.681, 100 %, 64 %, 83
2025/03/31 19:41:13.682, 100 %, 63 %, 84
2025/03/31 19:41:18.682, 95 %, 62 %, 84
2025/03/31 19:41:23.683, 91 %, 60 %, 83
2025/03/31 19:41:28.684, 100 %, 60 %, 85
2025/03/31 19:41:33.684, 96 %, 61 %, 84
2025/03/31 19:41:38.685, 96 %, 61 %, 81
2025/03/31 19:41:43.685, 100 %, 69 %, 82
2025/03/31 19:41:48.686, 100 %, 66 %, 84
2025/03/31 19:41:53.686, 100 %, 60 %, 84
2025/03/31 19:41:58.687, 100 %, 69 %, 85
2025/03/31 19:42:03.688, 96 %, 65 %, 84
2025/03/31 19:42:08.689, 100 %, 63 %, 84
2025/03/31 19:42:13.690, 100 %, 61 %, 85
2025/03/31 19:42:18.690, 100 %, 68 %, 84
2025/03/31 19:42:23.691, 96 %, 62 %, 84
2025/03/31 19:42:28.691, 100 %, 63 %, 84
2025/03/31 19:42:33.692, 100 %, 64 %, 83
2025/03/31 19:42:38.693, 100 %, 61 %, 83
2025/03/31 19:42:43.693, 96 %, 63 %, 84
2025/03/31 19:42:48.694, 100 %, 68 %, 83
2025/03/31 19:42:53.694, 96 %, 59 %, 84
2025/03/31 19:42:58.695, 100 %, 67 %, 84
2025/03/31 19:43:03.695, 100 %, 66 %, 82
2025/03/31 19:43:08.696, 96 %, 61 %, 84
2025/03/31 19:43:13.696, 100 %, 60 %, 84
2025/03/31 19:43:18.697, 100 %, 66 %, 84
2025/03/31 19:43:23.697, 96 %, 63 %, 84
2025/03/31 19:43:28.698, 96 %, 64 %, 84
2025/03/31 19:43:33.699, 91 %, 59 %, 84
2025/03/31 19:43:38.699, 96 %, 62 %, 83
2025/03/31 19:43:43.700, 96 %, 61 %, 84
2025/03/31 19:43:48.701, 96 %, 62 %, 84
2025/03/31 19:43:53.701, 91 %, 61 %, 84
2025/03/31 19:43:58.702, 100 %, 65 %, 84
2025/03/31 19:44:03.702, 96 %, 65 %, 84
2025/03/31 19:44:08.703, 96 %, 60 %, 84
2025/03/31 19:44:13.704, 91 %, 56 %, 82
2025/03/31 19:44:18.705, 96 %, 58 %, 84
2025/03/31 19:44:23.705, 100 %, 59 %, 85
2025/03/31 19:44:28.706, 91 %, 60 %, 84
2025/03/31 19:44:33.707, 100 %, 66 %, 84
2025/03/31 19:44:38.707, 100 %, 67 %, 84
2025/03/31 19:44:43.708, 96 %, 61 %, 84
2025/03/31 19:44:48.709, 91 %, 59 %, 83
2025/03/31 19:44:53.709, 100 %, 60 %, 84
2025/03/31 19:44:58.710, 96 %, 60 %, 84
2025/03/31 19:45:03.711, 100 %, 67 %, 84
2025/03/31 19:45:08.712, 90 %, 58 %, 84
2025/03/31 19:45:13.713, 100 %, 64 %, 84
2025/03/31 19:45:18.713, 96 %, 62 %, 83
2025/03/31 19:45:23.714, 100 %, 68 %, 84
2025/03/31 19:45:28.715, 91 %, 59 %, 83
2025/03/31 19:45:33.716, 98 %, 62 %, 84
2025/03/31 19:45:38.717, 96 %, 60 %, 84
2025/03/31 19:45:43.717, 96 %, 62 %, 84
2025/03/31 19:45:48.718, 100 %, 64 %, 84
2025/03/31 19:45:53.718, 99 %, 67 %, 84
2025/03/31 19:45:58.719, 96 %, 61 %, 85
2025/03/31 19:46:03.719, 96 %, 62 %, 83
2025/03/31 19:46:08.720, 100 %, 64 %, 83
2025/03/31 19:46:13.721, 100 %, 65 %, 84
2025/03/31 19:46:18.721, 96 %, 62 %, 84
2025/03/31 19:46:23.722, 91 %, 57 %, 84
2025/03/31 19:46:28.722, 100 %, 64 %, 84
2025/03/31 19:46:33.723, 96 %, 61 %, 84
2025/03/31 19:46:38.724, 100 %, 60 %, 84
2025/03/31 19:46:43.724, 100 %, 63 %, 85
2025/03/31 19:46:48.725, 100 %, 59 %, 82
2025/03/31 19:46:53.725, 100 %, 64 %, 84
2025/03/31 19:46:58.726, 91 %, 60 %, 85
2025/03/31 19:47:03.726, 100 %, 64 %, 84
2025/03/31 19:47:08.727, 100 %, 64 %, 84
2025/03/31 19:47:13.728, 100 %, 62 %, 83
2025/03/31 19:47:18.728, 100 %, 60 %, 82
2025/03/31 19:47:23.728, 96 %, 65 %, 83
2025/03/31 19:47:28.729, 100 %, 60 %, 85
2025/03/31 19:47:33.730, 100 %, 68 %, 84
2025/03/31 19:47:38.730, 96 %, 63 %, 84
2025/03/31 19:47:43.731, 100 %, 65 %, 84
2025/03/31 19:47:48.731, 100 %, 67 %, 84
2025/03/31 19:47:53.731, 96 %, 62 %, 83
2025/03/31 19:47:58.732, 100 %, 65 %, 84
2025/03/31 19:48:03.733, 96 %, 65 %, 84
2025/03/31 19:48:08.733, 91 %, 58 %, 84
2025/03/31 19:48:13.734, 100 %, 63 %, 85
2025/03/31 19:48:18.735, 100 %, 65 %, 84
2025/03/31 19:48:23.736, 100 %, 64 %, 84
2025/03/31 19:48:28.736, 100 %, 62 %, 84
2025/03/31 19:48:33.737, 100 %, 67 %, 84
2025/03/31 19:48:38.737, 100 %, 68 %, 84
2025/03/31 19:48:43.738, 100 %, 63 %, 84
2025/03/31 19:48:48.739, 91 %, 59 %, 85
2025/03/31 19:48:53.739, 96 %, 61 %, 84
2025/03/31 19:48:58.740, 100 %, 64 %, 84
2025/03/31 19:49:03.740, 96 %, 63 %, 84
2025/03/31 19:49:08.741, 100 %, 64 %, 83
2025/03/31 19:49:13.741, 100 %, 64 %, 83
2025/03/31 19:49:18.742, 100 %, 63 %, 84
2025/03/31 19:49:23.743, 91 %, 60 %, 83
2025/03/31 19:49:28.744, 100 %, 68 %, 84
2025/03/31 19:49:33.744, 96 %, 61 %, 84
2025/03/31 19:49:38.745, 100 %, 63 %, 84
2025/03/31 19:49:43.746, 91 %, 59 %, 83
2025/03/31 19:49:48.746, 96 %, 64 %, 85
2025/03/31 19:49:53.747, 100 %, 62 %, 84
2025/03/31 19:49:58.748, 96 %, 64 %, 84
2025/03/31 19:50:03.748, 91 %, 60 %, 83
2025/03/31 19:50:08.749, 96 %, 59 %, 84
2025/03/31 19:50:13.749, 96 %, 61 %, 84
2025/03/31 19:50:18.750, 100 %, 62 %, 84
2025/03/31 19:50:23.751, 100 %, 62 %, 84
2025/03/31 19:50:28.751, 100 %, 63 %, 85
2025/03/31 19:50:33.752, 96 %, 62 %, 84
2025/03/31 19:50:38.752, 100 %, 61 %, 84
2025/03/31 19:50:43.753, 96 %, 63 %, 84
2025/03/31 19:50:48.754, 98 %, 65 %, 84
2025/03/31 19:50:53.755, 100 %, 62 %, 85
2025/03/31 19:50:58.755, 91 %, 60 %, 84
2025/03/31 19:51:03.756, 100 %, 62 %, 81
2025/03/31 19:51:08.757, 96 %, 61 %, 84
2025/03/31 19:51:13.758, 96 %, 64 %, 84
2025/03/31 19:51:18.758, 95 %, 62 %, 83
2025/03/31 19:51:23.759, 96 %, 63 %, 84
2025/03/31 19:51:28.759, 96 %, 64 %, 84
2025/03/31 19:51:33.760, 96 %, 61 %, 84
2025/03/31 19:51:38.760, 100 %, 60 %, 84
2025/03/31 19:51:43.761, 100 %, 67 %, 84
2025/03/31 19:51:48.762, 96 %, 63 %, 84
2025/03/31 19:51:53.763, 97 %, 66 %, 84
2025/03/31 19:51:58.764, 100 %, 63 %, 83
2025/03/31 19:52:03.765, 96 %, 64 %, 84
2025/03/31 19:52:08.765, 100 %, 61 %, 85
2025/03/31 19:52:13.766, 91 %, 58 %, 83
2025/03/31 19:52:18.766, 96 %, 62 %, 83
2025/03/31 19:52:23.767, 100 %, 63 %, 84
2025/03/31 19:52:28.767, 100 %, 66 %, 84
2025/03/31 19:52:33.768, 97 %, 61 %, 82
2025/03/31 19:52:38.769, 100 %, 63 %, 85
2025/03/31 19:52:43.770, 96 %, 61 %, 84
2025/03/31 19:52:48.771, 90 %, 57 %, 83
2025/03/31 19:52:53.771, 100 %, 66 %, 84
2025/03/31 19:52:58.772, 100 %, 67 %, 84
2025/03/31 19:53:03.772, 100 %, 64 %, 83
2025/03/31 19:53:08.773, 91 %, 58 %, 85
2025/03/31 19:53:13.773, 100 %, 62 %, 84
2025/03/31 19:53:18.775, 96 %, 58 %, 84
2025/03/31 19:53:23.775, 46 %, 28 %, 73
2025/03/31 19:53:28.776, 100 %, 66 %, 82
2025/03/31 19:53:33.777, 96 %, 60 %, 85
2025/03/31 19:53:38.777, 100 %, 63 %, 83
2025/03/31 19:53:43.777, 93 %, 59 %, 84
2025/03/31 19:53:48.778, 100 %, 63 %, 83
2025/03/31 19:53:53.779, 100 %, 63 %, 83
2025/03/31 19:53:58.780, 94 %, 61 %, 84
2025/03/31 19:54:03.781, 91 %, 56 %, 84
2025/03/31 19:54:08.781, 100 %, 66 %, 84
2025/03/31 19:54:13.782, 93 %, 59 %, 84
2025/03/31 19:54:18.782, 93 %, 61 %, 84
2025/03/31 19:54:23.783, 96 %, 61 %, 85
2025/03/31 19:54:28.784, 96 %, 60 %, 84
2025/03/31 19:54:33.785, 94 %, 60 %, 84
2025/03/31 19:54:38.785, 93 %, 59 %, 84
2025/03/31 19:54:43.786, 100 %, 63 %, 83
2025/03/31 19:54:48.787, 94 %, 60 %, 84
2025/03/31 19:54:53.787, 100 %, 62 %, 83
2025/03/31 19:54:58.788, 100 %, 64 %, 84
2025/03/31 19:55:03.789, 100 %, 62 %, 84
2025/03/31 19:55:08.789, 100 %, 65 %, 84
2025/03/31 19:55:13.790, 100 %, 60 %, 84
2025/03/31 19:55:18.791, 100 %, 63 %, 83
2025/03/31 19:55:23.791, 96 %, 66 %, 84
2025/03/31 19:55:28.792, 100 %, 64 %, 84
2025/03/31 19:55:33.792, 96 %, 60 %, 84
2025/03/31 19:55:38.793, 100 %, 63 %, 84
2025/03/31 19:55:43.793, 100 %, 63 %, 84
2025/03/31 19:55:48.794, 96 %, 62 %, 84
2025/03/31 19:55:53.794, 96 %, 59 %, 84
2025/03/31 19:55:58.796, 100 %, 66 %, 85
2025/03/31 19:56:03.796, 93 %, 62 %, 84
2025/03/31 19:56:08.797, 100 %, 69 %, 84
2025/03/31 19:56:13.797, 96 %, 60 %, 84
2025/03/31 19:56:18.798, 100 %, 68 %, 84
2025/03/31 19:56:23.799, 93 %, 61 %, 84
2025/03/31 19:56:28.800, 100 %, 68 %, 84
2025/03/31 19:56:33.800, 100 %, 66 %, 83
2025/03/31 19:56:38.801, 100 %, 65 %, 85
2025/03/31 19:56:43.801, 100 %, 65 %, 84
2025/03/31 19:56:48.802, 96 %, 63 %, 84
2025/03/31 19:56:53.803, 97 %, 62 %, 84
2025/03/31 19:56:58.804, 94 %, 64 %, 84
2025/03/31 19:57:03.805, 100 %, 64 %, 82
2025/03/31 19:57:08.806, 100 %, 60 %, 83
2025/03/31 19:57:13.806, 100 %, 61 %, 84
2025/03/31 19:57:18.807, 94 %, 61 %, 83
2025/03/31 19:57:23.807, 100 %, 63 %, 84
2025/03/31 19:57:28.808, 96 %, 59 %, 84
2025/03/31 19:57:33.810, 96 %, 59 %, 83
2025/03/31 19:57:38.810, 100 %, 67 %, 83
2025/03/31 19:57:43.811, 100 %, 60 %, 83
2025/03/31 19:57:48.812, 100 %, 64 %, 83
2025/03/31 19:57:53.813, 96 %, 60 %, 84
2025/03/31 19:57:58.814, 99 %, 60 %, 83
2025/03/31 19:58:03.814, 100 %, 60 %, 84
2025/03/31 19:58:08.815, 96 %, 61 %, 84
2025/03/31 19:58:13.816, 96 %, 60 %, 83
2025/03/31 19:58:18.817, 100 %, 65 %, 82
2025/03/31 19:58:23.818, 96 %, 66 %, 84
2025/03/31 19:58:28.818, 96 %, 62 %, 84
2025/03/31 19:58:33.819, 93 %, 60 %, 85
2025/03/31 19:58:38.819, 89 %, 59 %, 84
2025/03/31 19:58:43.820, 96 %, 57 %, 84
2025/03/31 19:58:48.821, 100 %, 63 %, 82
2025/03/31 19:58:53.821, 100 %, 62 %, 84
2025/03/31 19:58:58.822, 93 %, 59 %, 83
2025/03/31 19:59:03.822, 100 %, 63 %, 83
2025/03/31 19:59:08.823, 98 %, 67 %, 84
2025/03/31 19:59:13.823, 100 %, 60 %, 84
2025/03/31 19:59:18.824, 93 %, 61 %, 83
2025/03/31 19:59:23.825, 100 %, 63 %, 84
2025/03/31 19:59:28.826, 96 %, 62 %, 84
2025/03/31 19:59:33.826, 100 %, 67 %, 84
2025/03/31 19:59:38.827, 100 %, 63 %, 84
2025/03/31 19:59:43.828, 96 %, 62 %, 84
2025/03/31 19:59:48.828, 100 %, 64 %, 84
2025/03/31 19:59:53.828, 100 %, 59 %, 84
2025/03/31 19:59:58.829, 93 %, 61 %, 84
2025/03/31 20:00:03.830, 96 %, 62 %, 82
2025/03/31 20:00:08.830, 100 %, 66 %, 84
2025/03/31 20:00:13.831, 100 %, 60 %, 84
2025/03/31 20:00:18.832, 100 %, 64 %, 84
2025/03/31 20:00:23.832, 96 %, 61 %, 84
2025/03/31 20:00:28.833, 96 %, 63 %, 84
2025/03/31 20:00:33.834, 100 %, 59 %, 81
2025/03/31 20:00:38.834, 100 %, 63 %, 83
2025/03/31 20:00:43.835, 96 %, 60 %, 84
2025/03/31 20:00:48.835, 100 %, 63 %, 82
2025/03/31 20:00:53.836, 100 %, 64 %, 84
2025/03/31 20:00:58.836, 96 %, 58 %, 85
2025/03/31 20:01:03.837, 96 %, 61 %, 84
2025/03/31 20:01:08.837, 94 %, 61 %, 84
2025/03/31 20:01:13.838, 100 %, 62 %, 85
2025/03/31 20:01:18.838, 100 %, 61 %, 84
2025/03/31 20:01:23.839, 96 %, 60 %, 84
2025/03/31 20:01:28.840, 94 %, 61 %, 84
2025/03/31 20:01:33.840, 95 %, 56 %, 83
2025/03/31 20:01:38.842, 96 %, 63 %, 84
2025/03/31 20:01:43.843, 100 %, 64 %, 84
2025/03/31 20:01:48.843, 94 %, 62 %, 83
2025/03/31 20:01:53.844, 98 %, 65 %, 84
2025/03/31 20:01:58.844, 100 %, 60 %, 84
2025/03/31 20:02:03.845, 96 %, 63 %, 84
2025/03/31 20:02:08.846, 94 %, 56 %, 84
