timestamp, utilization.gpu [%], utilization.memory [%], temperature.gpu
2025/03/30 14:53:06.508, 0 %, 0 %, 45
2025/03/30 14:53:11.513, 0 %, 0 %, 45
2025/03/30 14:53:16.514, 0 %, 0 %, 45
2025/03/30 14:53:21.515, 0 %, 0 %, 45
2025/03/30 14:53:26.515, 0 %, 0 %, 45
2025/03/30 14:53:31.516, 0 %, 0 %, 45
2025/03/30 14:53:36.516, 0 %, 0 %, 45
2025/03/30 14:53:41.517, 0 %, 0 %, 45
2025/03/30 14:53:46.518, 0 %, 0 %, 44
2025/03/30 14:53:51.518, 0 %, 0 %, 44
2025/03/30 14:53:56.519, 0 %, 0 %, 44
2025/03/30 14:54:01.519, 0 %, 0 %, 44
2025/03/30 14:54:06.520, 0 %, 0 %, 45
2025/03/30 14:54:11.521, 0 %, 0 %, 45
2025/03/30 14:54:16.526, 0 %, 0 %, 45
2025/03/30 14:54:21.526, 0 %, 0 %, 45
2025/03/30 14:54:26.527, 0 %, 0 %, 45
2025/03/30 14:54:31.527, 0 %, 0 %, 45
2025/03/30 14:54:36.528, 0 %, 0 %, 45
2025/03/30 14:54:41.528, 97 %, 0 %, 46
2025/03/30 14:54:46.529, 0 %, 0 %, 46
2025/03/30 14:54:51.530, 0 %, 0 %, 46
2025/03/30 14:54:56.531, 0 %, 0 %, 45
2025/03/30 14:55:01.531, 70 %, 48 %, 56
2025/03/30 14:55:06.532, 99 %, 64 %, 59
2025/03/30 14:55:11.532, 96 %, 60 %, 62
2025/03/30 14:55:16.533, 91 %, 58 %, 62
2025/03/30 14:55:21.534, 96 %, 61 %, 62
2025/03/30 14:55:26.534, 99 %, 60 %, 63
2025/03/30 14:55:31.535, 96 %, 58 %, 63
2025/03/30 14:55:36.535, 95 %, 62 %, 63
2025/03/30 14:55:41.536, 96 %, 59 %, 63
2025/03/30 14:55:46.536, 95 %, 63 %, 62
2025/03/30 14:55:51.537, 95 %, 58 %, 63
2025/03/30 14:55:56.537, 100 %, 60 %, 64
2025/03/30 14:56:01.538, 99 %, 62 %, 65
2025/03/30 14:56:06.538, 98 %, 63 %, 64
2025/03/30 14:56:11.539, 99 %, 61 %, 64
2025/03/30 14:56:16.539, 95 %, 63 %, 64
2025/03/30 14:56:21.540, 100 %, 60 %, 64
2025/03/30 14:56:26.540, 90 %, 60 %, 64
2025/03/30 14:56:31.541, 97 %, 59 %, 64
2025/03/30 14:56:36.541, 96 %, 60 %, 64
2025/03/30 14:56:41.542, 90 %, 59 %, 64
2025/03/30 14:56:46.542, 95 %, 59 %, 64
2025/03/30 14:56:51.543, 94 %, 61 %, 65
2025/03/30 14:56:56.543, 100 %, 61 %, 64
2025/03/30 14:57:01.544, 88 %, 54 %, 64
